"filename", "language", "PHP", "JSON", "Markdown", "CSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-vi.php", "PHP", 19, 0, 0, 0, 0, 6, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-zh.php", "PHP", 20, 0, 0, 0, 0, 7, 1, 28
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-zh_cn.php", "PHP", 27, 0, 0, 0, 0, 7, 1, 35
"c:\xampp\htdocs\routeready\app\libraries\mail\src\DSNConfigurator.php", "PHP", 136, 0, 0, 0, 0, 80, 1, 217
"c:\xampp\htdocs\routeready\app\libraries\mail\src\Exception.php", "PHP", 9, 0, 0, 0, 0, 28, 1, 38
"c:\xampp\htdocs\routeready\app\libraries\mail\src\OAuth.php", "PHP", 46, 0, 0, 0, 0, 79, 1, 126
"c:\xampp\htdocs\routeready\app\libraries\mail\src\OAuthTokenProvider.php", "PHP", 6, 0, 0, 0, 0, 35, 1, 42
"c:\xampp\htdocs\routeready\app\libraries\mail\src\PHPMailer.php", "PHP", 2926, 0, 0, 0, 0, 1933, 1, 4860
"c:\xampp\htdocs\routeready\app\libraries\mail\src\POP3.php", "PHP", 181, 0, 0, 0, 0, 234, 1, 416
"c:\xampp\htdocs\routeready\app\libraries\mail\src\SMTP.php", "PHP", 737, 0, 0, 0, 0, 617, 1, 1355
"c:\xampp\htdocs\routeready\app\models\Admin.php", "PHP", 73, 0, 0, 0, 0, 8, 18, 99
"c:\xampp\htdocs\routeready\app\models\BankModel.php", "PHP", 20, 0, 0, 0, 0, 4, 6, 30
"c:\xampp\htdocs\routeready\app\models\Driver.php", "PHP", 165, 0, 0, 0, 0, 30, 42, 237
"c:\xampp\htdocs\routeready\app\models\EmployeeReservation.php", "PHP", 228, 0, 0, 0, 0, 18, 46, 292
"c:\xampp\htdocs\routeready\app\models\Leave.php", "PHP", 94, 0, 0, 0, 0, 15, 56, 165
"c:\xampp\htdocs\routeready\app\models\Model.php", "PHP", 32, 0, 0, 0, 0, 24, 11, 67
